River Name,Monitoring Station / Location,State,,pH,Temperature (°C),Turbidity (NTU),DO (mg/L),BOD (mg/L),COD (mg/L),Total Coliform (MPN/100ml),EC (µS/cm),Data Source / Year,Completeness_Flag,synthetic_flag
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.66,27.22,12.85,6.56,9.53,51.1,2487,349,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.79,17.31,10.11,7.32,4.2,51.2,47031,283.5,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.65,31.89,17.87,6.8,6.92,41.5,6162,711.5,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.32,23.65,2.28,4.74,,45.9,22131,133.6,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.08,27.98,8.12,4.31,5.25,49.7,23678,467.2,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.22,26.71,12.29,7.55,,53.6,27802,392.4,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.12,,,6.1,12.87,,45640,283.3,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.26,28.7,8.04,3.74,6.61,,30794,206.6,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.33,39.96,10.55,6.68,0.66,67.5,45524,347.4,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.53,29.8,6.3,3.48,4.18,44.5,6380,247.2,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.43,32.37,9.43,8.1,0.74,47.9,68372,367,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.7,,17.37,6.19,6.75,57.1,24712,303.9,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.32,26.61,14.52,5.65,,11.4,34109,303.7,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,,24.76,4.27,6.51,8.96,21.2,,487.7,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.1,23.98,1.09,2.43,9.78,54.2,31759,,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.98,25.8,14.77,,9.17,52.1,30237,272.9,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.06,27.32,,5.48,3.4,41.8,653,250.7,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.69,19.88,17.06,4.62,2.74,45.4,,642.6,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.16,29.34,9.83,7.55,7.99,32.7,9215,542.7,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,,25.49,18.68,4.51,1.28,29.2,49885,458.2,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.69,25.76,11.41,0.1,3.58,39.1,60101,258,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,,30.22,16.61,6.24,1.18,50.9,51458,292,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.23,16.86,2.41,5.63,4.67,45.1,48906,337.1,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.13,24.33,19.12,2.3,8.28,32.4,,441.3,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.02,15.93,12.01,5.07,3.48,33.9,25709,120.2,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.65,28.72,8.6,,7.23,36,,,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.93,30.25,15.35,3.83,4.03,59.9,14764,375,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.73,27.67,17.79,6.5,3.86,62.7,24009,234.6,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,,26.83,19.26,5.87,4.79,45,32354,169.2,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.61,29,12.31,4.29,10.26,49.4,44596,628.8,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.51,37.59,1.56,3.55,9.94,55.7,9480,511.1,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.71,28.22,14.89,6.4,9.12,29.7,,279,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.78,31.64,10.68,,3.22,38.2,31477,599,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.84,16.83,5,4.48,3.61,47.9,,336.7,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.84,26.76,6.53,4.16,4.65,,,548,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.86,20.25,8.84,6.62,,40.9,34354,296.3,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.28,33.33,4.65,,,40.1,70048,373.9,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.44,21.57,7.1,6.32,12.16,47.2,1674,323.6,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,,21.49,26.95,,4.22,49.9,18358,479.9,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.84,28.38,,3.02,7.75,41,33332,579,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,,23.57,1.07,3.81,7.17,27.4,52252,409.3,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,,26.01,8.35,4.81,3.93,52,56212,595.7,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.53,26.71,11.88,3.27,7.82,65.2,26507,624,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.37,28.22,12.47,4.09,9.36,57.1,49516,421.3,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.21,36.5,9.75,8.74,6.27,39.3,17390,665.6,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.28,29.22,6.07,4.73,6.24,,10242,528.5,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.87,21.8,11.32,4.97,6.97,53.7,,,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.9,21.82,19.92,8.62,5.9,37.4,26552,527.2,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.77,25.72,7.74,7.52,3.8,33.9,72419,566.7,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.46,26.3,0.25,5.62,4.76,67.5,58227,537.8,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.74,25.08,1.35,6.92,8.86,56.8,17415,314,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.82,24.56,11.1,4.01,6.32,47.3,,569.4,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.08,29.37,6.29,4.31,0.22,47.3,28346,590.4,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.2,,12.64,4.72,2.85,57.7,27930,346.6,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.93,26.83,4.38,4.48,4.56,16.9,6851,122.9,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.27,19.66,4.67,5.26,2.96,50.1,,421.6,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.06,21.27,8.91,5.92,5.18,53.8,35623,,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.61,22.33,1.32,4.8,9.25,44.6,42553,669.7,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.85,20.82,12.62,4.36,5.57,58.2,45815,,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.64,32.32,11.58,4.32,4.59,61.8,62001,649.2,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.97,29.16,14.09,6.92,7.81,38.8,28583,433.7,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.46,26.4,13.02,7.36,4.38,33,22031,353,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.56,21.11,6.96,5.86,10.46,14.3,25585,220.1,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.67,36.93,8.52,6.6,6.02,17.3,10892,333.2,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.86,25.95,8.96,7.51,3.88,24.8,30399,360,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.83,,16.73,5.84,5.03,49,19627,677.8,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.36,,,,2.63,50.7,79197,537.2,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.04,11.28,3.98,6.92,6.45,29.6,17328,134.1,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.74,,18.72,4.78,3.84,47.1,46629,539.7,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.87,21.75,15.18,6.65,5.44,57.6,13494,346.1,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.75,24.78,10.34,5.31,5.35,62.2,33002,526.9,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,,25.14,10.52,5.48,13.75,25,9798,469.9,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.93,29.85,23.16,6.93,5.83,31.6,18714,331.1,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.29,27.18,7.68,4.13,6.75,8.4,26314,389.1,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.84,18.71,19.78,6.06,4.23,26.2,37918,402.4,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.87,,13.75,5.25,10.06,9.5,,164.1,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.63,27.48,9.61,5.64,4.35,37.3,35745,561.6,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.57,25.61,6.18,6.61,5.14,47.3,33152,449.2,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.86,21.74,13.99,,3.64,50,,488.1,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.47,29.66,16.04,5.54,3.41,68.8,14991,95.7,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.78,33.69,6.05,4.61,7.43,,33050,187.3,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,,29.79,12.5,4.02,7.71,34.1,55333,274.3,synthetic_generated_2025,0,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.55,23.74,21.37,5.11,1.88,40.4,50964,294.3,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.52,32.44,6.19,7.19,5.3,48,,267.6,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.54,18.79,12.88,7.57,9.8,,42770,674.6,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.82,35.63,10.49,7.27,4.69,40.3,3419,308.7,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.68,29.55,15.57,5.81,1.06,45.3,54609,499.1,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,6.8,21.07,3.53,6.15,6.52,35.7,2383,514.5,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,7.24,17.82,,5.7,5.71,42,21274,577.2,synthetic_generated_2025,1,1
Ganga,Kanpur (Jajmau),Uttar Pradesh,,,31.69,1.47,8.13,1.53,,20819,507.3,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.63,28.63,8.77,8.4,2.92,36.9,6297,522.9,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.38,30.73,1.55,5.1,7.05,18.6,11055,306.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.06,15.15,2.81,6.24,4.99,18.7,1467,447.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,,,9.19,8.5,3.85,38.6,2107,297.6,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.91,29.51,,7.03,5.35,14,1255,392.3,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.51,25.74,8.04,6.74,5.56,,7792,,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.4,22.06,,7.27,7.99,36.6,,429.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.28,27.83,,6.68,,22,6142,403,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.1,23.83,4.2,6.34,5.09,11.2,1416,303.6,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.03,29.42,14.2,5.67,4.3,27.3,3727,342.8,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,,26.47,6.65,8.25,6.44,17,874,449.5,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.8,28.28,11.74,4.85,3.81,41.4,14943,359.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.17,21.45,2.46,5.99,4.63,27.2,1048,162.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.12,28.18,7.6,4.08,2.77,29.7,10923,,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.12,26.34,7.52,8.11,5.03,23.5,13301,216.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,,24.9,3.82,4.88,7.34,,3759,466.4,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.47,21.23,0.66,4.1,4.2,23.4,9247,395.9,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.07,20.76,6.18,4.86,6.62,30.8,2608,343.9,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.25,23.07,12.95,7.01,5.18,28.7,7590,348.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.74,28.12,5.53,6.76,2.55,31.6,5456,,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.94,26.41,,,8.03,24.9,2291,479.1,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.66,23.5,1.98,6.65,3.77,31.8,8134,261.6,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.35,34.21,5.42,6.92,2.52,28.5,6805,402.2,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.71,,9.81,6.14,5.42,28.6,9540,352.6,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.13,32.46,4.44,8.28,3.18,43.3,12904,270.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.98,29.13,5.1,8.5,,23.9,17147,326.6,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.29,32.94,3.26,7.46,6.03,40.7,10992,146.9,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.37,25.74,5.14,5.33,1.1,22.7,6833,459.9,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.07,21.6,5.95,6.21,5.48,18.2,7823,427.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,,17.58,11.11,6.43,4.11,39,10533,244.6,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.95,24.43,,7.88,4.3,30.4,10403,285.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.37,28.62,9.69,5.88,1.3,44.9,20327,565.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.34,22.98,14.14,8.89,4.24,24.2,12183,338.3,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.03,22.5,4.64,,5.97,,2056,338.8,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.46,27.7,10.25,6.11,4.53,39.1,17677,467.5,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.15,25.32,8.28,5.52,5.64,39.9,15323,621.6,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.85,28.98,5.99,6.29,5,26.1,5425,175.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.93,22.69,7.25,7.19,7.3,41.9,4751,367.8,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.73,25.22,,5.12,6.71,26.2,15545,316,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.96,24.67,0.84,6.97,4.32,46.1,2362,163,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,,22.71,12.66,5.93,,27.2,1274,175.4,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.64,,10.85,7.14,3.27,42,,412.3,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.23,17.35,,6.72,3.52,23.7,2608,382.3,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.79,18.94,9.13,6.42,4.47,18.9,6201,288.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.8,33.39,4.26,4.92,4.94,25.2,2984,248.5,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.77,28.37,5.01,4.19,8.07,25.7,16973,533.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.88,23.46,10.57,6.63,2.81,37,9186,77.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.49,20.03,2.96,5.65,4.76,19.4,10527,481.6,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.48,20.23,10.31,6.4,4.24,14.6,6291,,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.89,22.97,6.39,4.56,1.61,33.6,3215,508.9,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.35,23.94,,6.53,2.63,30.8,16380,,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.15,23.34,7.3,,2.49,31.7,4967,437.9,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.36,32.07,5.88,6.67,6.72,,6061,540.3,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.8,19.87,,7.97,3.7,31.6,,251.9,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.8,33.73,10.11,7.47,4.26,45.1,6691,376.2,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.16,22.62,,7.27,5.93,26.1,1523,355.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.99,20.46,,6.01,2.05,21.1,18404,426.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.22,25.12,2.09,5.77,0.54,50.3,13176,280.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.56,23.74,2.11,6.6,7.37,,3198,,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.9,28.7,5.31,7,3.25,32.3,12666,292.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.13,18.75,11.73,4.27,3.13,29.1,10474,569.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.15,22.82,0.36,6.83,1.52,43,7027,523.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.31,28.64,6.26,8.5,3.96,43.2,9053,257,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,,29.15,3.56,5.28,,27.5,,218.4,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.26,34.91,9.82,9.11,2.66,21.8,866,433,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.21,22.66,2.81,,1.92,27,9971,311.1,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.84,14.73,7.44,6.59,5.61,27.7,5417,621,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.12,25.52,2.05,7.12,8.81,26.2,,,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.73,23.31,11.87,4.81,1.43,32.7,,191.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.31,30.68,,5.96,2.55,29.6,11418,341.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.64,27.5,6.51,7.26,3.5,11.3,,,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.05,29.46,1.09,5.68,,,2820,624.8,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.98,32.48,3.56,6.21,1.1,33.7,9586,387.6,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.28,28.38,6.77,8.32,5.34,43,11641,159,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.97,23.09,2.3,6.82,4.87,33.9,1836,187.9,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.25,21.12,2.88,7.69,0.73,14.8,7891,415.2,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.3,17.55,5.02,7.04,5.67,30.1,11254,282.9,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.11,24.67,7.04,5.22,5.69,23.9,6052,408.5,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7,18.12,4.15,6.97,,41.6,15617,230.6,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.8,19.17,0.16,,5.64,36.5,7292,241.2,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,,22.52,5.49,5.84,1.66,21.4,9189,419,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.64,23.94,4.79,8.4,5.3,31.7,13021,424.2,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.61,22,9.29,6.9,4.86,20.4,4455,529.4,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.21,18.44,6.63,7.67,0.36,,4620,295.8,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.73,30.54,7.18,6.97,2.89,25.4,6943,195.9,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.89,23.23,14.66,7.77,6.55,41.7,2007,233.3,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.79,28.43,,6.31,5.87,23.6,4583,451,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.13,19.63,6.46,6.46,5.14,31.2,10278,342.6,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.47,18.2,,8.56,4.59,27.6,804,433.7,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.91,23.92,5.45,5.57,3.61,27.3,17677,493.6,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.27,32.07,6.87,,3.06,38,11926,414.8,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.57,30.23,6.19,5.87,2.83,27.7,12129,445.7,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.68,15.44,3.73,8.66,8.54,48.3,6842,166.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.78,20.2,7.02,7.34,5.28,19.7,11904,431.1,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.88,24.95,6.25,5.63,2.67,37,13071,452.5,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.89,22.48,8.1,,2.11,26.1,5771,166.9,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,,31.51,1.99,,5.49,36.4,3929,343.3,synthetic_generated_2025,0,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,6.79,29.09,9.69,7.52,1.87,25.3,12937,385,synthetic_generated_2025,1,1
Ganga,Varanasi (Dashaswamedh),Uttar Pradesh,,7.19,32.39,6.98,6.19,1.09,29.2,12940,493.5,synthetic_generated_2025,1,1
